UnitID,UnitName,unitType,unitTier,PortraitPath,level,stat_HP,stat_ATK,stat_DEF,stat_HIT,stat_EVA,stat_AP,trait_01,trait_02,passiveSkill_01,passiveSkill_02,passiveSkill_03,passiveSkill_04,activeSkill_01,activeSkill_02,activeSkill_03,trait_01_path,trait_02_path,passiveSkill_01_path,passiveSkill_02_path,passiveSkill_03_path,passiveSkill_04_path,activeSkill_01_path,activeSkill_02_path,activeSkill_03_path,equip_weapon,equip_armor,equip_accessary,equip_weapon_path,equip_armor_path,equip_accessary_path,UnitIconPath,stat_mov
0,Dwarf_01,Warrior,1,res_portrait_dwarf/portrait_dwarf_Warrior,1,120,80,30,100,40,5,Shield Brothers,Ironclad Form,Juggernaut Advance,Plague Ward,Opportunist,Unyielding Resolve,Brutal Strike,Shield Bash,Rallying Vanguard,res_icon_trait/icon_trait_ShieldBrothers,res_icon_trait/icon_trait_ShieldBrothers,res_icon_trait/icon_trait_ShieldBrothers,res_icon_trait/icon_trait_ShieldBrothers,res_icon_trait/icon_trait_ShieldBrothers,res_icon_trait/icon_trait_ShieldBrothers,res_icon_trait/icon_trait_ShieldBrothers,res_icon_trait/icon_trait_ShieldBrothers,res_icon_trait/icon_trait_ShieldBrothers,Novice Steel Sword,Quilted Leather Coat,Copper Signet Ring,res_icon_gear/NoviceSteelSword,res_icon_gear/QuiltedLeatherCoat,res_icon_gear/CopperSignetRing,icon_Unit_Portraits/icon_dwarf_Warrior,3
1,Dwarf_02,Raider,1,res_portrait_dwarf/portrait_dwarf_Raider,1,90,90,15,110,70,6,Skirmish Arts,Master of Strife,Nimble Steps,Doom Breaker: Soul,Opportunist,Doom Breaker: Variant,Heavy Blow,Headbutt,Sweeping Slash,res_icon_trait/icon_trait_SkirmishArts,res_icon_trait/icon_trait_SkirmishArts,res_icon_trait/icon_trait_SkirmishArts,res_icon_trait/icon_trait_SkirmishArts,res_icon_trait/icon_trait_SkirmishArts,res_icon_trait/icon_trait_SkirmishArts,res_icon_trait/icon_trait_SkirmishArts,res_icon_trait/icon_trait_SkirmishArts,res_icon_trait/icon_trait_SkirmishArts,Pair of Hand Axes,Leather Breastplate,Lucky Coin,res_icon_gear/PairofHandAxes,res_icon_gear/LeatherBreastplate,res_icon_gear/LuckyCoin,icon_Unit_Portraits/icon_dwarf_Raider,4
2,Dwarf_03,Marksman,1,res_portrait_dwarf/portrait_dwarf_MarksMan,1,80,100,10,120,30,5,Steadfast Aim,Immovable Marksman,Vantage Point,Doom Breaker: Tunnels,Munitions Management,Doom Breaker: Grinding,Aimed Shot,Suppressive Fire,Concentrated Volley,res_icon_trait/icon_trait_SteadfastAim,res_icon_trait/icon_trait_SteadfastAim,res_icon_trait/icon_trait_SteadfastAim,res_icon_trait/icon_trait_SteadfastAim,res_icon_trait/icon_trait_SteadfastAim,res_icon_trait/icon_trait_SteadfastAim,res_icon_trait/icon_trait_SteadfastAim,res_icon_trait/icon_trait_SteadfastAim,res_icon_trait/icon_trait_SteadfastAim,Standard Crossbow,Leather Tunic,Scope Component,res_icon_gear/StandardCrossbow,res_icon_gear/LeatherTunic,res_icon_gear/ScopeComponent,icon_Unit_Portraits/icon_dwarf_MarksMan,3
3,Dwarf_04,Rune Caster,1,res_portrait_dwarf/portrait_dwarf_RuneCaster,1,85,70,20,100,40,6,Runic Resonance,Amplified Resonance,Runic Ward,Doom Breaker: Variant,Residue Aether,Doom Breaker: Blight,Searing Runic Bolt,Runic Plate Armor,Collapse Rune,res_icon_trait/icon_trait_RunicResonance,res_icon_trait/icon_trait_RunicResonance,res_icon_trait/icon_trait_RunicResonance,res_icon_trait/icon_trait_RunicResonance,res_icon_trait/icon_trait_RunicResonance,res_icon_trait/icon_trait_RunicResonance,res_icon_trait/icon_trait_RunicResonance,res_icon_trait/icon_trait_RunicResonance,res_icon_trait/icon_trait_RunicResonance,Inscription Chisel,Runic Robe,Ancient Dictionary,res_icon_gear/InscriptionChisel,res_icon_gear/RunicRobe,res_icon_gear/AncientDictionary,icon_Unit_Portraits/icon_dwarf_RuneCaster,2
10,Dwarf_05,Armored Infantry,2,res_portrait_dwarf/portrait_dwarf_ArmoredInfantry,1,250,150,80,130,50,5,Heavy Plate Mastery,Bulwark of Iron,Unshakable Stance,Doom Breaker: Grinding,Retaliation,Doom Breaker: Tunnels,Shield Bulwark,Defensive Formation,Crushing Strike,res_icon_trait/icon_trait_HeavyPlateMastery,res_icon_trait/icon_trait_HeavyPlateMastery,res_icon_trait/icon_trait_HeavyPlateMastery,res_icon_trait/icon_trait_HeavyPlateMastery,res_icon_trait/icon_trait_HeavyPlateMastery,res_icon_trait/icon_trait_HeavyPlateMastery,res_icon_trait/icon_trait_HeavyPlateMastery,res_icon_trait/icon_trait_HeavyPlateMastery,res_icon_trait/icon_trait_HeavyPlateMastery,Dwarven Axe,Steel Chainmail,Rune of Fortitude,res_icon_gear/DwarvenAxe,res_icon_gear/SteelChainmail,res_icon_gear/RuneofFortitude,icon_Unit_Portraits/icon_dwarf_ArmoredInfantry,2
11,Dwarf_06,Berserker,2,res_portrait_dwarf/portrait_dwarf_Berserker,1,200,220,40,140,80,7,Blood Vendetta,Endless Fury,Unstoppable Charge,Doom Breaker: Variant,Berserk Fury,Doom Breaker: Blight,Severing Cleave,Sunder Chain,Execute,res_icon_trait/icon_trait_BloodVendetta,res_icon_trait/icon_trait_BloodVendetta,res_icon_trait/icon_trait_BloodVendetta,res_icon_trait/icon_trait_BloodVendetta,res_icon_trait/icon_trait_BloodVendetta,res_icon_trait/icon_trait_BloodVendetta,res_icon_trait/icon_trait_BloodVendetta,res_icon_trait/icon_trait_BloodVendetta,res_icon_trait/icon_trait_BloodVendetta,Two-Handed Greataxe,Reinforced Leather Armor,Warrior's Token,res_icon_gear/Two-HandedGreataxe,res_icon_gear/ReinforcedLeatherArmor,res_icon_gear/Warrior'sToken,icon_Unit_Portraits/icon_dwarf_Berserker,4
12,Dwarf_07,Scout,2,res_portrait_dwarf/portrait_dwarf_Scout,1,160,180,30,180,100,8,First Strike Vigil,Hawkeye Surveillance,Nocturnal Vision,Doom Breaker: Tunnels,Mark the Weakness,Doom Breaker: Variant,Targeted Mark,Flashbang,Focused Burst,res_icon_trait/icon_trait_FirstStrikeVigil,res_icon_trait/icon_trait_FirstStrikeVigil,res_icon_trait/icon_trait_FirstStrikeVigil,res_icon_trait/icon_trait_FirstStrikeVigil,res_icon_trait/icon_trait_FirstStrikeVigil,res_icon_trait/icon_trait_FirstStrikeVigil,res_icon_trait/icon_trait_FirstStrikeVigil,res_icon_trait/icon_trait_FirstStrikeVigil,res_icon_trait/icon_trait_FirstStrikeVigil,Enhanced Short Rifle,Camouflage Cloak,High-Power Telescope,res_icon_gear/EnhancedShortRifle,res_icon_gear/CamouflageCloak,res_icon_gear/High-PowerTelescope,icon_Unit_Portraits/icon_dwarf_Scout,4
13,Dwarf_08,Arcanist,2,res_portrait_dwarf/portrait_dwarf_Arcanist,1,170,150,45,140,60,7,Arcane Focus,Perfect Attunement,Meditative Runic Focus,Doom Breaker: Blight,Resonant Aether,Doom Breaker: Tunnels,Magic Bolt,Eldritch Wave,Arcane Overload,res_icon_trait/icon_trait_ArcaneFocus,res_icon_trait/icon_trait_ArcaneFocus,res_icon_trait/icon_trait_ArcaneFocus,res_icon_trait/icon_trait_ArcaneFocus,res_icon_trait/icon_trait_ArcaneFocus,res_icon_trait/icon_trait_ArcaneFocus,res_icon_trait/icon_trait_ArcaneFocus,res_icon_trait/icon_trait_ArcaneFocus,res_icon_trait/icon_trait_ArcaneFocus,Arcane Staff,Scholar's Vestments,Ring of Wisdom,res_icon_gear/ArcaneStaff,res_icon_gear/Scholar'sVestments,res_icon_gear/RingofWisdom,icon_Unit_Portraits/icon_dwarf_Arcanist,3
20,Dwarf_09,Iron Warden,3,res_portrait_dwarf/portrait_dwarf_IronWarden,1,600,350,200,180,60,5,Immovable Bastion,Indomitable Bulwark,Iron-Shod Boots,Doom Breaker: Blight,Stoic Fortitude,Doom Breaker: Grinding,Shield Parry,Unyielding Defense,Call of the Warden,res_icon_trait/icon_trait_ImmovableBastion,res_icon_trait/icon_trait_ImmovableBastion,res_icon_trait/icon_trait_ImmovableBastion,res_icon_trait/icon_trait_ImmovableBastion,res_icon_trait/icon_trait_ImmovableBastion,res_icon_trait/icon_trait_ImmovableBastion,res_icon_trait/icon_trait_ImmovableBastion,res_icon_trait/icon_trait_ImmovableBastion,res_icon_trait/icon_trait_ImmovableBastion,Gornidil's Decisive Weapon,Full Plate Mail,Ancestral Guardian Amulet,res_icon_gear/Gornidil'sDecisiveWeapon,res_icon_gear/FullPlateMail,res_icon_gear/AncestralGuardianAmulet,icon_Unit_Portraits/icon_dwarf_IronWarden,2
21,Dwarf_10,Slayer,3,res_portrait_dwarf/portrait_dwarf_Slayer,1,400,550,30,220,140,8,Death Wish,Perfect Devotion,Unyielding Leap,Doom Breaker: Soul,Bloodlust,Doom Breaker: Blight,Fatal Strike,Skullcracker,Final Stand,res_icon_trait/icon_trait_DeathWish,res_icon_trait/icon_trait_DeathWish,res_icon_trait/icon_trait_DeathWish,res_icon_trait/icon_trait_DeathWish,res_icon_trait/icon_trait_DeathWish,res_icon_trait/icon_trait_DeathWish,res_icon_trait/icon_trait_DeathWish,res_icon_trait/icon_trait_DeathWish,res_icon_trait/icon_trait_DeathWish,Dragon Slayer's Greatsword,Ancient Tattoos,Runic Death Pendant,res_icon_gear/DragonSlayer'sGreatsword,res_icon_gear/AncientTattoos,res_icon_gear/RunicDeathPendant,icon_Unit_Portraits/icon_dwarf_Slayer,4
22,Dwarf_11,Tunnel Stalker,3,res_portrait_dwarf/portrait_dwarf_TunnelStalker,1,350,450,40,300,120,7,Ambush From Below,Perfect Ambush,Masters of the Depths,Doom Breaker: Tunnels,Lethal Trajectory,Doom Breaker: Variant,Precision Shot,Piercing Round,Silencing Salvo,res_icon_trait/icon_trait_AmbushFromBelow,res_icon_trait/icon_trait_AmbushFromBelow,res_icon_trait/icon_trait_AmbushFromBelow,res_icon_trait/icon_trait_AmbushFromBelow,res_icon_trait/icon_trait_AmbushFromBelow,res_icon_trait/icon_trait_AmbushFromBelow,res_icon_trait/icon_trait_AmbushFromBelow,res_icon_trait/icon_trait_AmbushFromBelow,res_icon_trait/icon_trait_AmbushFromBelow,Silence of the Abyss Sniper,Stealth Suit,Night Vision Goggles,res_icon_gear/SilenceoftheAbyssSniper,res_icon_gear/StealthSuit,res_icon_gear/NightVisionGoggles,icon_Unit_Portraits/icon_dwarf_TunnelStalker,4
23,Dwarf_12,Purifying Priest,3,res_portrait_dwarf/portrait_dwarf_PurifyingPriest,1,380,300,80,200,90,7,Purifying Aura,Radiant Sanctum,Devout Steps,Doom Breaker: Blight,Light of Healing,Doom Breaker: Variant,Ray of Light,Sanctuary Call,Ancestral Blessing,res_icon_trait/icon_trait_PurifyingAura,res_icon_trait/icon_trait_PurifyingAura,res_icon_trait/icon_trait_PurifyingAura,res_icon_trait/icon_trait_PurifyingAura,res_icon_trait/icon_trait_PurifyingAura,res_icon_trait/icon_trait_PurifyingAura,res_icon_trait/icon_trait_PurifyingAura,res_icon_trait/icon_trait_PurifyingAura,res_icon_trait/icon_trait_PurifyingAura,Holy Scepter of Purity,Prelate's Vestments,Gem of Divine Tears,res_icon_gear/HolyScepterofPurity,res_icon_gear/Prelate'sVestments,res_icon_gear/GemofDivineTears,icon_Unit_Portraits/icon_dwarf_PurifyingPriest,3
100,Verminkin_01,Vermin Footman,1,res_portrait_verminkin/portrait_VerminFootman,1,35,8,4,90,50,4,(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),res_portrait_verminkin/portrait_VerminFootman,3
101,Verminkin_02,Vermin Hurler,1,res_portrait_verminkin/portrait_VerminHurler,1,25,10,2,100,60,5,(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),res_portrait_verminkin/portrait_VerminHurler,3
102,Verminkin_03,Vermin Marauder,1,res_portrait_verminkin/portrait_VerminMarauder,1,30,12,3,95,80,7,(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),res_portrait_verminkin/portrait_VerminMarauder,5
103,Verminkin_04,Great Rat Monstrosity,1,res_portrait_verminkin/portrait_GreatRatMonstrosity,1,180,22,15,85,20,3,(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),res_portrait_verminkin/portrait_GreatRatMonstrosity,4
104,Verminkin_05,Vermin Beastmaster,1,res_portrait_verminkin/portrait_VerminBeastmaster,1,50,6,6,90,40,5,(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),res_portrait_verminkin/portrait_VerminBeastmaster,3
105,Verminkin_06,Plague Doctor,2,res_portrait_verminkin/portrait_PlagueDoctor,1,90,12,15,110,70,5,(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),res_portrait_verminkin/portrait_PlagueDoctor,3
106,Verminkin_07,Spore-Venom Scorpion,2,res_portrait_verminkin/portrait_Spore-VenomScorpion,1,75,18,8,120,90,6,(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),res_portrait_verminkin/portrait_Spore-VenomScorpion,4
107,Verminkin_08,Pustule Abomination,3,res_portrait_verminkin/portrait_PustuleAbomination,1,450,28,30,100,10,4,(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),res_portrait_verminkin/portrait_PustuleAbomination,2
108,Verminkin_09,Rift Tracer,2,res_portrait_verminkin/portrait_RiftTracer,1,85,16,12,140,110,6,(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),res_portrait_verminkin/portrait_RiftTracer,5
109,Verminkin_10,Illusionist,2,res_portrait_verminkin/portrait_Illusionist,1,60,14,5,110,150,5,(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),res_portrait_verminkin/portrait_Illusionist,3
110,Verminkin_11,Warped Mutant,3,res_portrait_verminkin/portrait_WarpedMutant,1,380,24,25,115,40,4,(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),res_portrait_verminkin/portrait_WarpedMutant,3
111,Verminkin_12,Tunnel Ambusher,2,res_portrait_verminkin/portrait_TunnelAmbusher,1,70,22,6,150,100,6,(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),res_portrait_verminkin/portrait_TunnelAmbusher,4
112,Verminkin_13,Wall-Crawl Rat,2,res_portrait_verminkin/portrait_Wall-CrawlRat,1,80,14,10,120,120,5,(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),res_portrait_verminkin/portrait_Wall-CrawlRat,4
113,Verminkin_14,Blind Burster,3,res_portrait_verminkin/portrait_BlindBurster,1,520,32,20,70,20,4,(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),res_portrait_verminkin/portrait_BlindBurster,3
114,Verminkin_15,Soul Wrester,2,res_portrait_verminkin/portrait_SoulWrester,1,95,20,12,130,80,5,(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),res_portrait_verminkin/portrait_SoulWrester,3
115,Verminkin_16,Screaming Wraith,2,res_portrait_verminkin/portrait_ScreamingWraith,1,55,14,0,110,180,6,(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),res_portrait_verminkin/portrait_ScreamingWraith,5
116,Verminkin_17,Revenant Knight,3,res_portrait_verminkin/portrait_RevenantKnight,1,420,26,45,140,60,4,(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),res_portrait_verminkin/portrait_RevenantKnight,4
117,Verminkin_18,Soul Reaper,3,res_portrait_verminkin/portrait_SoulReaper,1,320,38,15,160,120,7,(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),res_portrait_verminkin/portrait_SoulReaper,4
118,Verminkin_19,Jagged-Tooth Automaton,2,res_portrait_verminkin/portrait_Jagged-ToothAutomaton,1,130,24,25,110,30,4,(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),res_portrait_verminkin/portrait_Jagged-ToothAutomaton,2
119,Verminkin_20,Oil Spouter,2,res_portrait_verminkin/portrait_OilSpouter,1,80,12,15,90,40,5,(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),res_portrait_verminkin/portrait_OilSpouter,2
120,Verminkin_21,Overloaded Bomber-Rat,3,res_portrait_verminkin/portrait_OverloadedBomber-Rat,1,220,45,12,100,50,6,(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),res_portrait_verminkin/portrait_OverloadedBomber-Rat,5
121,Verminkin_22,Steel Crusher,3,res_portrait_verminkin/portrait_SteelCrusher,1,480,42,60,120,30,5,(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),res_portrait_verminkin/portrait_SteelCrusher,2
122,Verminkin_23,Vermin Sapper,3,res_portrait_verminkin/portrait_VerminSapper,1,150,15,20,110,60,6,(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),res_portrait_verminkin/portrait_VerminSapper,3
123,Verminkin_24,Vermin Emperor,5,res_portrait_verminkin/portrait_VerminEmperor,1,1500,65,55,200,100,8,(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),res_portrait_verminkin/portrait_VerminEmperor,4
124,Verminkin_25,Lord of Shards,4,res_portrait_verminkin/portrait_LordofShards,1,850,50,70,180,50,3,(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),res_portrait_verminkin/portrait_LordofShards,0
125,Verminkin_26,Gas-Bomb Lobber,3,res_portrait_verminkin/portrait_Gas-BombLobber,1,180,25,25,130,70,6,(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),res_portrait_verminkin/portrait_Gas-BombLobber,3